   0.130221E-01   0.141995E+08   0.141843E+08  -0.202368E+04  -0.202459E+04   0.830448E+07   0.141707E+08
   0.134635E-01   0.140210E+08   0.140050E+08  -0.186957E+04  -0.187040E+04   0.806077E+07   0.139918E+08
   0.139198E-01   0.138385E+08   0.138216E+08  -0.172641E+04  -0.172719E+04   0.781744E+07   0.138089E+08
   0.143916E-01   0.136520E+08   0.136342E+08  -0.159347E+04  -0.159419E+04   0.757444E+07   0.136220E+08
   0.148794E-01   0.134614E+08   0.134426E+08  -0.147006E+04  -0.147072E+04   0.733187E+07   0.134311E+08
   0.153838E-01   0.132668E+08   0.132470E+08  -0.135552E+04  -0.135612E+04   0.709004E+07   0.132361E+08
   0.159052E-01   0.130682E+08   0.130473E+08  -0.124924E+04  -0.124980E+04   0.684944E+07   0.130371E+08
   0.164443E-01   0.128654E+08   0.128435E+08  -0.115068E+04  -0.115119E+04   0.661056E+07   0.128340E+08
   0.170017E-01   0.126587E+08   0.126356E+08  -0.105929E+04  -0.105976E+04   0.637369E+07   0.126270E+08
   0.175780E-01   0.124480E+08   0.124238E+08  -0.974583E+03  -0.975019E+03   0.613893E+07   0.124160E+08
   0.181738E-01   0.122333E+08   0.122079E+08  -0.896108E+03  -0.896509E+03   0.590640E+07   0.122010E+08
   0.187898E-01   0.120148E+08   0.119881E+08  -0.823433E+03  -0.823801E+03   0.567630E+07   0.119823E+08
   0.194267E-01   0.117924E+08   0.117646E+08  -0.756159E+03  -0.756497E+03   0.544891E+07   0.117597E+08
   0.200851E-01   0.115664E+08   0.115373E+08  -0.693914E+03  -0.694224E+03   0.522456E+07   0.115335E+08
   0.207659E-01   0.113369E+08   0.113065E+08  -0.636351E+03  -0.636635E+03   0.500362E+07   0.113038E+08
   0.214698E-01   0.111040E+08   0.110723E+08  -0.583145E+03  -0.583406E+03   0.478640E+07   0.110708E+08
   0.221975E-01   0.108679E+08   0.108349E+08  -0.533997E+03  -0.534235E+03   0.457300E+07   0.108345E+08
   0.229499E-01   0.106288E+08   0.105945E+08  -0.488623E+03  -0.488841E+03   0.436358E+07   0.105954E+08
   0.237278E-01   0.103870E+08   0.103514E+08  -0.446761E+03  -0.446961E+03   0.415847E+07   0.103536E+08
   0.245321E-01   0.101428E+08   0.101060E+08  -0.408167E+03  -0.408350E+03   0.395805E+07   0.101094E+08
   0.253636E-01   0.989651E+07   0.985850E+07  -0.372613E+03  -0.372779E+03   0.376252E+07   0.986314E+07
   0.262233E-01   0.964856E+07   0.960937E+07  -0.339885E+03  -0.340037E+03   0.357203E+07   0.961526E+07
   0.271121E-01   0.939934E+07   0.935905E+07  -0.309786E+03  -0.309924E+03   0.338676E+07   0.936616E+07
   0.280311E-01   0.914935E+07   0.910801E+07  -0.282129E+03  -0.282255E+03   0.320697E+07   0.911632E+07
   0.289812E-01   0.889912E+07   0.885682E+07  -0.256742E+03  -0.256857E+03   0.303292E+07   0.886627E+07
   0.299635E-01   0.864920E+07   0.860605E+07  -0.233464E+03  -0.233568E+03   0.286474E+07   0.861659E+07
   0.309791E-01   0.840024E+07   0.835636E+07  -0.212143E+03  -0.212237E+03   0.270252E+07   0.836790E+07
   0.320292E-01   0.815290E+07   0.810843E+07  -0.192637E+03  -0.192723E+03   0.254650E+07   0.812088E+07
   0.331148E-01   0.790790E+07   0.786298E+07  -0.174816E+03  -0.174894E+03   0.239683E+07   0.787623E+07
   0.342372E-01   0.766598E+07   0.762079E+07  -0.158555E+03  -0.158626E+03   0.225356E+07   0.763471E+07
   0.353977E-01   0.742791E+07   0.738263E+07  -0.143738E+03  -0.143802E+03   0.211676E+07   0.739708E+07
   0.365975E-01   0.719447E+07   0.714931E+07  -0.130256E+03  -0.130314E+03   0.198656E+07   0.716412E+07
