0.0075 7793.57 7790.52
0.0125 9347.49 9338.06
0.0175 9430.13 9413.09
0.0225 8716.54 8693.24
0.0275 7674.92 7648.29
0.0325 6617.14 6590.04
0.0375 5714.21 5688.59
0.0425 5024.78 5001.06
0.0475 4537.77 4514.99
0.0525 4203.84 4180.62
0.0575 3949.26 3924.9
0.0625 3724.76 3699.28
0.0675 3485.67 3460.52
0.0725 3210.16 3188.19
0.0775 2906.97 2891.41
0.0825 2602.53 2595.79
0.0875 2322.33 2325.44
0.0925 2083.39 2095.98
0.0975 1894.82 1913.83
0.1025 1756.99 1779.75
0.1075 1661.06 1685.01
0.1125 1592.51 1614.16
0.1175 1535.41 1554.92
0.1225 1475.66 1492.93
0.1275 1404.12 1422.26
0.1325 1319.01 1340.29
0.1375 1225.03 1252.81
0.1425 1129.76 1164.63
0.1475 1040.5 1083.85
0.1525 962.981 1012.07
0.1575 900.682 954.61
0.1625 853.742 908.835
0.1675 819.138 873.302
0.1725 792.213 844.518
0.1775 768.377 817.25
0.1825 743.817 790.647
0.1875 715.816 761.982
0.1925 683.464 730.272
0.1975 647.784 697.513
0.2025 611.042 664.594
0.2075 575.67 632.799
0.2125 543.609 603.996
0.2175 516.165 578.946
0.2225 493.775 556.482
0.2275 475.877 537.458
0.2325 461.11 520.934
0.2375 447.875 504.943
0.2425 434.845 489.329
0.2475 421.134 473.813
0.2525 406.317 458.499
0.2575 390.438 441.956
0.2625 373.991 425.789
0.2675 357.759 410.35
0.2725 342.504 395.937
0.2775 328.744 381.72
0.2825 316.662 368.544
0.2875 306.158 356.633
0.2925 296.949 345.454
0.2975 288.636 334.672
0.3025 280.773 324.108
0.3075 272.955 313.81
0.3125 264.93 303.752
0.3175 256.648 293.866
0.3225 248.226 283.961
0.3275 239.856 274.19
0.3325 231.76 264.848
0.3375 224.134 255.781
0.3425 217.097 247.079
0.3475 210.675 238.627
0.3525 204.81 230.408
0.3575 199.39 222.574
0.3625 194.271 214.906
0.3675 189.316 207.612
0.3725 184.422 200.361
0.3775 179.539 193.063
0.3825 174.667 186.125
0.3875 169.843 179.187
0.3925 165.122 172.663
0.3975 160.571 166.202
0.4025 156.244 159.963
0.4075 152.161 153.824
0.4125 148.32 147.853
0.4175 144.699 142.044
0.4225 141.259 136.447
0.4275 137.952 131.192
0.4325 134.735 125.896
0.4375 131.579 120.824
0.4425 128.475 115.826
0.4475 125.428 110.942
0.4525 122.444 106.394
0.4575 119.54 101.803
0.4625 116.732 97.447
0.4675 114.034 93.1613
0.4725 111.451 89.0267
0.4775 108.977 85.0196
0.4825 106.6 81.2214
0.4875 104.306 77.4746
0.4925 102.088 73.88
0.4975 99.9311 70.494
0.5025 97.823 67.1201
