#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.745045E-04   0.198293E+08   0.198293E+08   0.257389E+08   0.257379E+08   0.198296E+08   0.198293E+08   0.198293E+08   0.198358E+08  -0.473653E+00   0.105001E+08   0.105001E+08   0.418971E-01
   0.122837E-03   0.198271E+08   0.198271E+08   0.245727E+08   0.245700E+08   0.198241E+08   0.198271E+08   0.198271E+08   0.198333E+08  -0.473588E+00   0.104989E+08   0.104989E+08   0.689255E-01
   0.202524E-03   0.198212E+08   0.198212E+08   0.216428E+08   0.216360E+08   0.198091E+08   0.198212E+08   0.198212E+08   0.198267E+08  -0.473415E+00   0.104957E+08   0.104957E+08   0.112980E+00
   0.333906E-03   0.198057E+08   0.198057E+08   0.152283E+08   0.152132E+08   0.197691E+08   0.198056E+08   0.198057E+08   0.198094E+08  -0.472966E+00   0.104874E+08   0.104874E+08   0.183536E+00
   0.550518E-03   0.197661E+08   0.197661E+08   0.570238E+07   0.567452E+07   0.196641E+08   0.197657E+08   0.197661E+08   0.197671E+08  -0.471882E+00   0.104659E+08   0.104659E+08   0.292486E+00
   0.907651E-03   0.196720E+08   0.196719E+08   0.114999E+07   0.109993E+07   0.194005E+08   0.196708E+08   0.196720E+08   0.196711E+08  -0.469511E+00   0.104151E+08   0.104151E+08   0.453288E+00
   0.149646E-02   0.194677E+08   0.194674E+08   0.233832E+06   0.197030E+06   0.187911E+08   0.194646E+08   0.194676E+08   0.194646E+08  -0.464560E+00   0.103057E+08   0.103057E+08   0.687884E+00
   0.246725E-02   0.190565E+08   0.190558E+08  -0.741406E+05  -0.741747E+05   0.175958E+08   0.190498E+08   0.190564E+08   0.190498E+08  -0.454649E+00   0.100863E+08   0.100863E+08   0.102937E+01
   0.406781E-02   0.182964E+08   0.182945E+08  -0.261943E+05  -0.262063E+05   0.156916E+08   0.182844E+08   0.182961E+08   0.182844E+08  -0.436379E+00   0.968169E+07   0.968168E+07   0.152170E+01
   0.427637E-02   0.181948E+08   0.181928E+08  -0.235713E+05  -0.235822E+05   0.154593E+08   0.181823E+08   0.181945E+08   0.181823E+08  -0.433941E+00   0.962770E+07   0.962768E+07   0.158121E+01
   0.449563E-02   0.180880E+08   0.180858E+08  -0.212043E+05  -0.212140E+05   0.152185E+08   0.180748E+08   0.180876E+08   0.180748E+08  -0.431376E+00   0.957089E+07   0.957087E+07   0.164281E+01
   0.472612E-02   0.179756E+08   0.179732E+08  -0.190685E+05  -0.190772E+05   0.149702E+08   0.179618E+08   0.179753E+08   0.179618E+08  -0.428679E+00   0.951117E+07   0.951115E+07   0.170652E+01
   0.496843E-02   0.178576E+08   0.178550E+08  -0.171418E+05  -0.171497E+05   0.147139E+08   0.178432E+08   0.178572E+08   0.178432E+08  -0.425847E+00   0.944845E+07   0.944842E+07   0.177241E+01
   0.522317E-02   0.177338E+08   0.177309E+08  -0.154042E+05  -0.154112E+05   0.144498E+08   0.177187E+08   0.177334E+08   0.177187E+08  -0.422876E+00   0.938264E+07   0.938261E+07   0.184051E+01
   0.549097E-02   0.176040E+08   0.176008E+08  -0.138373E+05  -0.138437E+05   0.141778E+08   0.175882E+08   0.176035E+08   0.175882E+08  -0.419761E+00   0.931365E+07   0.931362E+07   0.191085E+01
   0.577250E-02   0.174680E+08   0.174645E+08  -0.124248E+05  -0.124306E+05   0.138977E+08   0.174515E+08   0.174674E+08   0.174515E+08  -0.416498E+00   0.924139E+07   0.924135E+07   0.198346E+01
   0.606846E-02   0.173261E+08   0.173222E+08  -0.111522E+05  -0.111574E+05   0.135873E+08   0.173088E+08   0.173255E+08   0.173088E+08  -0.413093E+00   0.916597E+07   0.916593E+07   0.205836E+01
   0.637960E-02   0.171772E+08   0.171730E+08  -0.100052E+05  -0.100098E+05   0.132855E+08   0.171591E+08   0.171765E+08   0.171591E+08  -0.409521E+00   0.908686E+07   0.908682E+07   0.213555E+01
   0.670669E-02   0.170216E+08   0.170169E+08  -0.897199E+04  -0.897611E+04   0.129747E+08   0.170028E+08   0.170209E+08   0.170028E+08  -0.405789E+00   0.900420E+07   0.900415E+07   0.221503E+01
   0.705054E-02   0.168591E+08   0.168540E+08  -0.804154E+04  -0.804524E+04   0.126553E+08   0.168395E+08   0.168583E+08   0.168395E+08  -0.401892E+00   0.891788E+07   0.891783E+07   0.229677E+01
   0.741203E-02   0.166895E+08   0.166839E+08  -0.720390E+04  -0.720721E+04   0.123283E+08   0.166691E+08   0.166886E+08   0.166691E+08  -0.397827E+00   0.882781E+07   0.882776E+07   0.238074E+01
   0.779206E-02   0.165127E+08   0.165066E+08  -0.645005E+04  -0.645301E+04   0.119949E+08   0.164916E+08   0.165118E+08   0.164916E+08  -0.393589E+00   0.873393E+07   0.873387E+07   0.246687E+01
   0.819156E-02   0.163285E+08   0.163217E+08  -0.577181E+04  -0.577446E+04   0.116569E+08   0.163065E+08   0.163274E+08   0.163065E+08  -0.389173E+00   0.863610E+07   0.863604E+07   0.255507E+01
   0.861155E-02   0.161367E+08   0.161293E+08  -0.516183E+04  -0.516420E+04   0.113147E+08   0.161139E+08   0.161355E+08   0.161139E+08  -0.384576E+00   0.853426E+07   0.853419E+07   0.264524E+01
   0.905308E-02   0.159371E+08   0.159290E+08  -0.461344E+04  -0.461556E+04   0.109685E+08   0.159136E+08   0.159358E+08   0.159136E+08  -0.379795E+00   0.842833E+07   0.842825E+07   0.273721E+01
   0.951724E-02   0.157296E+08   0.157208E+08  -0.412061E+04  -0.412250E+04   0.106179E+08   0.157053E+08   0.157282E+08   0.157053E+08  -0.374825E+00   0.831819E+07   0.831811E+07   0.283080E+01
   0.100052E-01   0.155140E+08   0.155044E+08  -0.367790E+04  -0.367959E+04   0.102626E+08   0.154891E+08   0.155126E+08   0.154891E+08  -0.369663E+00   0.820381E+07   0.820372E+07   0.292576E+01
   0.105182E-01   0.152903E+08   0.152798E+08  -0.328037E+04  -0.328188E+04   0.990298E+07   0.152645E+08   0.152886E+08   0.152645E+08  -0.364304E+00   0.808508E+07   0.808498E+07   0.302182E+01
   0.110575E-01   0.150581E+08   0.150466E+08  -0.292357E+04  -0.292491E+04   0.953988E+07   0.150316E+08   0.150563E+08   0.150316E+08  -0.358746E+00   0.796190E+07   0.796179E+07   0.311862E+01
   0.116244E-01   0.148174E+08   0.148049E+08  -0.260346E+04  -0.260465E+04   0.917442E+07   0.147902E+08   0.148155E+08   0.147902E+08  -0.352984E+00   0.783420E+07   0.783409E+07   0.321575E+01
   0.122204E-01   0.145680E+08   0.145544E+08  -0.231641E+04  -0.231747E+04   0.880710E+07   0.145401E+08   0.145659E+08   0.145401E+08  -0.347015E+00   0.770190E+07   0.770178E+07   0.331273E+01
   0.128469E-01   0.143097E+08   0.142949E+08  -0.205914E+04  -0.206008E+04   0.843998E+07   0.142812E+08   0.143074E+08   0.142812E+08  -0.340835E+00   0.756492E+07   0.756479E+07   0.340897E+01
   0.135056E-01   0.140425E+08   0.140264E+08  -0.182869E+04  -0.182953E+04   0.807339E+07   0.140133E+08   0.140400E+08   0.140133E+08  -0.334442E+00   0.742321E+07   0.742306E+07   0.350382E+01
   0.141981E-01   0.137662E+08   0.137487E+08  -0.162238E+04  -0.162312E+04   0.770762E+07   0.137364E+08   0.137635E+08   0.137364E+08  -0.327833E+00   0.727671E+07   0.727656E+07   0.359652E+01
   0.149260E-01   0.134808E+08   0.134619E+08  -0.143779E+04  -0.143845E+04   0.734268E+07   0.134504E+08   0.134779E+08   0.134504E+08  -0.321008E+00   0.712540E+07   0.712523E+07   0.368618E+01
   0.156913E-01   0.131862E+08   0.131657E+08  -0.127276E+04  -0.127334E+04   0.697940E+07   0.131553E+08   0.131830E+08   0.131553E+08  -0.313964E+00   0.696923E+07   0.696906E+07   0.377183E+01
   0.164958E-01   0.128824E+08   0.128604E+08  -0.112530E+04  -0.112582E+04   0.661949E+07   0.128510E+08   0.128790E+08   0.128510E+08  -0.306703E+00   0.680823E+07   0.680804E+07   0.385233E+01
   0.173415E-01   0.125696E+08   0.125458E+08  -0.993663E+03  -0.994117E+03   0.626414E+07   0.125377E+08   0.125659E+08   0.125377E+08  -0.299225E+00   0.664243E+07   0.664222E+07   0.392646E+01
   0.182307E-01   0.122478E+08   0.122222E+08  -0.876237E+03  -0.876638E+03   0.591366E+07   0.122155E+08   0.122438E+08   0.122155E+08  -0.291535E+00   0.647190E+07   0.647168E+07   0.399282E+01
   0.191654E-01   0.119172E+08   0.118898E+08  -0.771590E+03  -0.771943E+03   0.556859E+07   0.118846E+08   0.119129E+08   0.118846E+08  -0.283637E+00   0.629675E+07   0.629652E+07   0.404990E+01
   0.201480E-01   0.115782E+08   0.115489E+08  -0.678424E+03  -0.678734E+03   0.522999E+07   0.115453E+08   0.115737E+08   0.115453E+08  -0.275540E+00   0.611716E+07   0.611692E+07   0.409607E+01
   0.211810E-01   0.112312E+08   0.112000E+08  -0.595572E+03  -0.595844E+03   0.489921E+07   0.111981E+08   0.112264E+08   0.111981E+08  -0.267253E+00   0.593337E+07   0.593311E+07   0.412957E+01
   0.222670E-01   0.108768E+08   0.108437E+08  -0.521983E+03  -0.522222E+03   0.457700E+07   0.108435E+08   0.108717E+08   0.108435E+08  -0.258792E+00   0.574568E+07   0.574540E+07   0.414854E+01
   0.234086E-01   0.105158E+08   0.104807E+08  -0.456712E+03  -0.456920E+03   0.426368E+07   0.104824E+08   0.105103E+08   0.104824E+08  -0.250173E+00   0.555449E+07   0.555420E+07   0.415105E+01
   0.246088E-01   0.101490E+08   0.101120E+08  -0.398904E+03  -0.399086E+03   0.396056E+07   0.101156E+08   0.101432E+08   0.101156E+08  -0.241419E+00   0.536028E+07   0.535997E+07   0.413514E+01
   0.258705E-01   0.977754E+07   0.973873E+07  -0.347793E+03  -0.347951E+03   0.366856E+07   0.974421E+07   0.977153E+07   0.974421E+07  -0.232556E+00   0.516364E+07   0.516332E+07   0.409887E+01
   0.271970E-01   0.940281E+07   0.936230E+07  -0.302686E+03  -0.302824E+03   0.338814E+07   0.936964E+07   0.939653E+07   0.936964E+07  -0.223616E+00   0.496529E+07   0.496496E+07   0.404039E+01
   0.285914E-01   0.902634E+07   0.898430E+07  -0.262960E+03  -0.263080E+03   0.312002E+07   0.899342E+07   0.901983E+07   0.899342E+07  -0.214637E+00   0.476606E+07   0.476572E+07   0.395801E+01
   0.300573E-01   0.864997E+07   0.860662E+07  -0.228052E+03  -0.228156E+03   0.286506E+07   0.861739E+07   0.864325E+07   0.861739E+07  -0.205663E+00   0.456692E+07   0.456657E+07   0.385030E+01
   0.315983E-01   0.827576E+07   0.823137E+07  -0.197455E+03  -0.197545E+03   0.262362E+07   0.824361E+07   0.826888E+07   0.824361E+07  -0.196742E+00   0.436895E+07   0.436860E+07   0.371624E+01
   0.332184E-01   0.790601E+07   0.786092E+07  -0.170710E+03  -0.170788E+03   0.239633E+07   0.787439E+07   0.789902E+07   0.787439E+07  -0.187930E+00   0.417339E+07   0.417304E+07   0.355530E+01
   0.349216E-01   0.758224E+07   0.753682E+07  -0.148164E+03  -0.148232E+03   0.219478E+07   0.755112E+07   0.757520E+07   0.755112E+07  -0.180215E+00   0.400217E+07   0.400182E+07   0.336910E+01
   0.367120E-01   0.723145E+07   0.718615E+07  -0.127883E+03  -0.127942E+03   0.199681E+07   0.720103E+07   0.722443E+07   0.720103E+07  -0.171860E+00   0.381672E+07   0.381637E+07   0.315599E+01
   0.385943E-01   0.689131E+07   0.684662E+07  -0.110290E+03  -0.110340E+03   0.181323E+07   0.686169E+07   0.688438E+07   0.686169E+07  -0.163761E+00   0.363696E+07   0.363662E+07   0.291929E+01
   0.405731E-01   0.656469E+07   0.652113E+07  -0.950811E+02  -0.951244E+02   0.164409E+07   0.653594E+07   0.655794E+07   0.653594E+07  -0.155987E+00   0.346439E+07   0.346407E+07   0.266201E+01
   0.426533E-01   0.625524E+07   0.621335E+07  -0.819926E+02  -0.820299E+02   0.148947E+07   0.622745E+07   0.624875E+07   0.622745E+07  -0.148624E+00   0.330096E+07   0.330065E+07   0.238825E+01
   0.448402E-01   0.593977E+07   0.590008E+07  -0.704616E+02  -0.704937E+02   0.134328E+07   0.591307E+07   0.593362E+07   0.591307E+07  -0.141121E+00   0.313439E+07   0.313411E+07   0.210282E+01
   0.471392E-01   0.566835E+07   0.563136E+07  -0.608554E+02  -0.608831E+02   0.121616E+07   0.564271E+07   0.566262E+07   0.564271E+07  -0.134669E+00   0.299115E+07   0.299090E+07   0.181355E+01
   0.495561E-01   0.541692E+07   0.538304E+07  -0.526331E+02  -0.526570E+02   0.110144E+07   0.539238E+07   0.541167E+07   0.539238E+07  -0.128695E+00   0.285852E+07   0.285829E+07   0.152771E+01
   0.520969E-01   0.518391E+07   0.515346E+07  -0.455860E+02  -0.456068E+02   0.997882E+06   0.516047E+07   0.517919E+07   0.516047E+07  -0.123160E+00   0.273564E+07   0.273545E+07   0.125384E+01
   0.547679E-01   0.498141E+07   0.495454E+07  -0.396460E+02  -0.396640E+02   0.906848E+06   0.495903E+07   0.497725E+07   0.495903E+07  -0.118352E+00   0.262891E+07   0.262875E+07   0.100106E+01
   0.575759E-01   0.477825E+07   0.475495E+07  -0.344182E+02  -0.344338E+02   0.821769E+06   0.475695E+07   0.477464E+07   0.475695E+07  -0.113529E+00   0.252183E+07   0.252170E+07   0.777297E+00
   0.605279E-01   0.458497E+07   0.456502E+07  -0.298900E+02  -0.299036E+02   0.744175E+06   0.456470E+07   0.458188E+07   0.456470E+07  -0.108941E+00   0.241996E+07   0.241986E+07   0.590163E+00
   0.646671E-01   0.433179E+07   0.431558E+07  -0.247472E+02  -0.247585E+02   0.650180E+06   0.431281E+07   0.432927E+07   0.431281E+07  -0.102930E+00   0.228648E+07   0.228640E+07   0.407629E+00
   0.688062E-01   0.410259E+07   0.408883E+07  -0.207077E+02  -0.207171E+02   0.571280E+06   0.408466E+07   0.410045E+07   0.408466E+07  -0.974845E-01   0.216557E+07   0.216551E+07   0.307843E+00
   0.729453E-01   0.387911E+07   0.386652E+07  -0.174239E+02  -0.174318E+02   0.502614E+06   0.386206E+07   0.387716E+07   0.386206E+07  -0.921719E-01   0.204760E+07   0.204754E+07   0.273075E+00
   0.770845E-01   0.365985E+07   0.364733E+07  -0.147229E+02  -0.147296E+02   0.442435E+06   0.364352E+07   0.365791E+07   0.364352E+07  -0.869562E-01   0.193177E+07   0.193171E+07   0.282844E+00
   0.812236E-01   0.343697E+07   0.342376E+07  -0.124541E+02  -0.124598E+02   0.388628E+06   0.342129E+07   0.343492E+07   0.342129E+07  -0.816526E-01   0.181398E+07   0.181391E+07   0.316338E+00
   0.853628E-01   0.321935E+07   0.320506E+07  -0.105622E+02  -0.105670E+02   0.341283E+06   0.320426E+07   0.321714E+07   0.320426E+07  -0.764730E-01   0.169895E+07   0.169885E+07   0.355532E+00
   0.895019E-01   0.301391E+07   0.299853E+07  -0.899500E+01  -0.899909E+01   0.300203E+06   0.299939E+07   0.301153E+07   0.299939E+07  -0.715836E-01   0.159035E+07   0.159024E+07   0.386598E+00
   0.936411E-01   0.282634E+07   0.281016E+07  -0.770614E+01  -0.770964E+01   0.265056E+06   0.281238E+07   0.282383E+07   0.281238E+07  -0.671202E-01   0.149121E+07   0.149109E+07   0.400873E+00
   0.977802E-01   0.266011E+07   0.264365E+07  -0.665209E+01  -0.665511E+01   0.235334E+06   0.264672E+07   0.265756E+07   0.264672E+07  -0.631666E-01   0.140339E+07   0.140327E+07   0.394852E+00
   0.101919E+00   0.251649E+07   0.250034E+07  -0.579250E+01  -0.579513E+01   0.210400E+06   0.250367E+07   0.251398E+07   0.250367E+07  -0.597527E-01   0.132756E+07   0.132744E+07   0.369476E+00
   0.106058E+00   0.239488E+07   0.237961E+07  -0.509112E+01  -0.509344E+01   0.189561E+06   0.238265E+07   0.239251E+07   0.238265E+07  -0.568644E-01   0.126340E+07   0.126329E+07   0.328944E+00
   0.110198E+00   0.229314E+07   0.227920E+07  -0.451601E+01  -0.451806E+01   0.172112E+06   0.228149E+07   0.229098E+07   0.228149E+07  -0.544502E-01   0.120977E+07   0.120968E+07   0.279348E+00
   0.114337E+00   0.220774E+07   0.219539E+07  -0.403926E+01  -0.404109E+01   0.157364E+06   0.219666E+07   0.220583E+07   0.219666E+07  -0.524255E-01   0.116479E+07   0.116472E+07   0.227318E+00
   0.118476E+00   0.213410E+07   0.212339E+07  -0.363697E+01  -0.363863E+01   0.144666E+06   0.212354E+07   0.213244E+07   0.212354E+07  -0.506805E-01   0.112603E+07   0.112597E+07   0.178881E+00
   0.122615E+00   0.206722E+07   0.205800E+07  -0.328958E+01  -0.329108E+01   0.133445E+06   0.205714E+07   0.206579E+07   0.205714E+07  -0.490957E-01   0.109083E+07   0.109078E+07   0.138637E+00
   0.126754E+00   0.200256E+07   0.199455E+07  -0.298232E+01  -0.298367E+01   0.123256E+06   0.199291E+07   0.200132E+07   0.199291E+07  -0.475629E-01   0.105678E+07   0.105673E+07   0.109297E+00
   0.130893E+00   0.193691E+07   0.192971E+07  -0.270524E+01  -0.270647E+01   0.113800E+06   0.192764E+07   0.193579E+07   0.192764E+07  -0.460050E-01   0.102217E+07   0.102213E+07   0.915972E-01
   0.135032E+00   0.186866E+07   0.186187E+07  -0.245252E+01  -0.245363E+01   0.104919E+06   0.185972E+07   0.186761E+07   0.185972E+07  -0.443841E-01   0.986159E+06   0.986125E+06   0.845267E-01
   0.139172E+00   0.179766E+07   0.179091E+07  -0.222115E+01  -0.222216E+01   0.965545E+05   0.178901E+07   0.179662E+07   0.178901E+07  -0.426964E-01   0.948668E+06   0.948632E+06   0.857853E-01
   0.143311E+00   0.172473E+07   0.171775E+07  -0.200973E+01  -0.201064E+01   0.887073E+05   0.171633E+07   0.172365E+07   0.171633E+07  -0.409620E-01   0.910135E+06   0.910096E+06   0.923525E-01
   0.147450E+00   0.165135E+07   0.164399E+07  -0.181769E+01  -0.181852E+01   0.814082E+05   0.164319E+07   0.165021E+07   0.164319E+07  -0.392164E-01   0.871357E+06   0.871312E+06   0.101059E+00
   0.151589E+00   0.157956E+07   0.157179E+07  -0.164498E+01  -0.164573E+01   0.747058E+05   0.157163E+07   0.157836E+07   0.157163E+07  -0.375085E-01   0.833414E+06   0.833364E+06   0.109076E+00
   0.155728E+00   0.151169E+07   0.150360E+07  -0.149169E+01  -0.149237E+01   0.686526E+05   0.150398E+07   0.151044E+07   0.150398E+07  -0.358941E-01   0.797547E+06   0.797494E+06   0.114264E+00
   0.159867E+00   0.144984E+07   0.144158E+07  -0.135752E+01  -0.135814E+01   0.632797E+05   0.144236E+07   0.144856E+07   0.144236E+07  -0.344234E-01   0.764873E+06   0.764818E+06   0.115372E+00
   0.164006E+00   0.139526E+07   0.138705E+07  -0.124131E+01  -0.124188E+01   0.585750E+05   0.138801E+07   0.139398E+07   0.138801E+07  -0.331262E-01   0.736053E+06   0.735998E+06   0.112066E+00
   0.168146E+00   0.134804E+07   0.134009E+07  -0.114102E+01  -0.114154E+01   0.544783E+05   0.134102E+07   0.134681E+07   0.134102E+07  -0.320049E-01   0.711141E+06   0.711088E+06   0.104818E+00
   0.172285E+00   0.130738E+07   0.129986E+07  -0.105411E+01  -0.105459E+01   0.509001E+05   0.130059E+07   0.130621E+07   0.130059E+07  -0.310400E-01   0.689702E+06   0.689653E+06   0.946832E-01
   0.176424E+00   0.127199E+07   0.126504E+07  -0.978083E+00  -0.978527E+00   0.477441E+05   0.126544E+07   0.127091E+07   0.126544E+07  -0.302009E-01   0.671060E+06   0.671016E+06   0.830310E-01
   0.180563E+00   0.124049E+07   0.123415E+07  -0.910693E+00  -0.911107E+00   0.449210E+05   0.123416E+07   0.123950E+07   0.123416E+07  -0.294544E-01   0.654474E+06   0.654435E+06   0.712761E-01
   0.184702E+00   0.121143E+07   0.120569E+07  -0.850012E+00  -0.850397E+00   0.423512E+05   0.120531E+07   0.121054E+07   0.120531E+07  -0.287661E-01   0.639180E+06   0.639147E+06   0.606569E-01
   0.188841E+00   0.118339E+07   0.117815E+07  -0.794386E+00  -0.794746E+00   0.399647E+05   0.117747E+07   0.118258E+07   0.117747E+07  -0.281014E-01   0.624413E+06   0.624384E+06   0.520779E-01
   0.192980E+00   0.115508E+07   0.115023E+07  -0.742515E+00  -0.742852E+00   0.377054E+05   0.114933E+07   0.115433E+07   0.114933E+07  -0.274300E-01   0.609495E+06   0.609469E+06   0.460244E-01
   0.197120E+00   0.112566E+07   0.112106E+07  -0.693559E+00  -0.693874E+00   0.355377E+05   0.112007E+07   0.112495E+07   0.112007E+07  -0.267317E-01   0.593980E+06   0.593955E+06   0.425534E-01
   0.201259E+00   0.109487E+07   0.109037E+07  -0.647134E+00  -0.647428E+00   0.334480E+05   0.108942E+07   0.109417E+07   0.108942E+07  -0.260001E-01   0.577727E+06   0.577702E+06   0.413509E-01
   0.205398E+00   0.106295E+07   0.105844E+07  -0.603202E+00  -0.603476E+00   0.314398E+05   0.105763E+07   0.106225E+07   0.105763E+07  -0.252415E-01   0.560871E+06   0.560846E+06   0.418387E-01
   0.209537E+00   0.103047E+07   0.102588E+07  -0.561892E+00  -0.562147E+00   0.295248E+05   0.102528E+07   0.102976E+07   0.102528E+07  -0.244693E-01   0.543716E+06   0.543688E+06   0.433037E-01
   0.213676E+00   0.998178E+06   0.993467E+06  -0.523394E+00  -0.523631E+00   0.277181E+05   0.993108E+06   0.997448E+06   0.993108E+06  -0.237015E-01   0.526656E+06   0.526627E+06   0.450255E-01
   0.217815E+00   0.966896E+06   0.962075E+06  -0.487896E+00  -0.488118E+00   0.260347E+05   0.961941E+06   0.966148E+06   0.961941E+06  -0.229577E-01   0.510129E+06   0.510099E+06   0.463826E-01
   0.231012E+00   0.881550E+06   0.876759E+06  -0.395455E+00  -0.395634E+00   0.215844E+05   0.876962E+06   0.880808E+06   0.876962E+06  -0.209296E-01   0.465067E+06   0.465037E+06   0.444356E-01
   0.245009E+00   0.816862E+06   0.812771E+06  -0.325797E+00  -0.325945E+00   0.181721E+05   0.812656E+06   0.816228E+06   0.812656E+06  -0.193949E-01   0.430967E+06   0.430942E+06   0.338866E-01
   0.259854E+00   0.760102E+06   0.756707E+06  -0.269541E+00  -0.269663E+00   0.153495E+05   0.756244E+06   0.759575E+06   0.756244E+06  -0.180485E-01   0.401052E+06   0.401032E+06   0.251030E-01
