#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.715199E-02   0.168072E+08   0.168020E+08  -0.796961E+04  -0.797352E+04   0.125427E+08   0.167873E+08   0.168064E+08   0.167873E+08  -0.399783E+00   0.885570E+07   0.885565E+07   0.231790E+01
   0.739440E-02   0.166932E+08   0.166876E+08  -0.740558E+04  -0.740921E+04   0.123237E+08   0.166727E+08   0.166923E+08   0.166727E+08  -0.397056E+00   0.879538E+07   0.879533E+07   0.237402E+01
   0.764504E-02   0.165760E+08   0.165700E+08  -0.687982E+04  -0.688319E+04   0.121019E+08   0.165550E+08   0.165750E+08   0.165550E+08  -0.394251E+00   0.873336E+07   0.873331E+07   0.243110E+01
   0.790417E-02   0.164552E+08   0.164489E+08  -0.638971E+04  -0.639284E+04   0.118776E+08   0.164337E+08   0.164542E+08   0.164337E+08  -0.391363E+00   0.866949E+07   0.866943E+07   0.248911E+01
   0.817208E-02   0.163314E+08   0.163246E+08  -0.593308E+04  -0.593599E+04   0.116515E+08   0.163093E+08   0.163303E+08   0.163093E+08  -0.388401E+00   0.860398E+07   0.860392E+07   0.254804E+01
   0.844907E-02   0.162042E+08   0.161970E+08  -0.550764E+04  -0.551033E+04   0.114236E+08   0.161816E+08   0.162030E+08   0.161816E+08  -0.385359E+00   0.853671E+07   0.853664E+07   0.260784E+01
   0.873546E-02   0.160735E+08   0.160659E+08  -0.511130E+04  -0.511381E+04   0.111939E+08   0.160505E+08   0.160723E+08   0.160505E+08  -0.382236E+00   0.846763E+07   0.846756E+07   0.266847E+01
   0.903155E-02   0.159394E+08   0.159314E+08  -0.474216E+04  -0.474448E+04   0.109625E+08   0.159159E+08   0.159382E+08   0.159159E+08  -0.379031E+00   0.839673E+07   0.839665E+07   0.272987E+01
   0.933767E-02   0.158018E+08   0.157933E+08  -0.439840E+04  -0.440055E+04   0.107291E+08   0.157777E+08   0.158005E+08   0.157777E+08  -0.375742E+00   0.832398E+07   0.832390E+07   0.279200E+01
   0.965417E-02   0.156608E+08   0.156517E+08  -0.407836E+04  -0.408035E+04   0.104936E+08   0.156362E+08   0.156593E+08   0.156362E+08  -0.372370E+00   0.824940E+07   0.824932E+07   0.285479E+01
   0.998140E-02   0.155160E+08   0.155064E+08  -0.378040E+04  -0.378225E+04   0.102561E+08   0.154909E+08   0.155145E+08   0.154909E+08  -0.368911E+00   0.817289E+07   0.817280E+07   0.291815E+01
   0.103197E-01   0.153676E+08   0.153574E+08  -0.350309E+04  -0.350480E+04   0.100167E+08   0.153420E+08   0.153660E+08   0.153420E+08  -0.365365E+00   0.809444E+07   0.809435E+07   0.298200E+01
   0.106695E-01   0.152155E+08   0.152047E+08  -0.324503E+04  -0.324662E+04   0.977562E+07   0.151894E+08   0.152138E+08   0.151894E+08  -0.361731E+00   0.801405E+07   0.801396E+07   0.304624E+01
   0.110312E-01   0.150597E+08   0.150482E+08  -0.300494E+04  -0.300641E+04   0.953314E+07   0.150331E+08   0.150579E+08   0.150331E+08  -0.358008E+00   0.793169E+07   0.793158E+07   0.311075E+01
   0.114051E-01   0.149000E+08   0.148878E+08  -0.278160E+04  -0.278296E+04   0.928959E+07   0.148729E+08   0.148981E+08   0.148729E+08  -0.354193E+00   0.784730E+07   0.784720E+07   0.317543E+01
   0.117916E-01   0.147365E+08   0.147236E+08  -0.257391E+04  -0.257517E+04   0.904530E+07   0.147090E+08   0.147345E+08   0.147090E+08  -0.350289E+00   0.776092E+07   0.776080E+07   0.324011E+01
   0.121913E-01   0.145691E+08   0.145555E+08  -0.238080E+04  -0.238196E+04   0.880008E+07   0.145411E+08   0.145670E+08   0.145411E+08  -0.346292E+00   0.767248E+07   0.767236E+07   0.330465E+01
   0.126045E-01   0.143978E+08   0.143834E+08  -0.220129E+04  -0.220237E+04   0.855527E+07   0.143694E+08   0.143956E+08   0.143694E+08  -0.342202E+00   0.758199E+07   0.758186E+07   0.336888E+01
   0.130318E-01   0.142226E+08   0.142074E+08  -0.203447E+04  -0.203546E+04   0.831064E+07   0.141937E+08   0.142202E+08   0.141937E+08  -0.338018E+00   0.748942E+07   0.748929E+07   0.343260E+01
