#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.100072E-04   0.199994E+08   0.199994E+08   0.266519E+08   0.266515E+08   0.200016E+08   0.199994E+08   0.199994E+08   0.200064E+08  -0.460193E+00   0.987096E+07   0.987096E+07   0.621630E+01
   0.110494E-04   0.199994E+08   0.199994E+08   0.266488E+08   0.266483E+08   0.200016E+08   0.199994E+08   0.199994E+08   0.200064E+08  -0.460193E+00   0.987096E+07   0.987096E+07   0.686350E+01
   0.122002E-04   0.199994E+08   0.199994E+08   0.266451E+08   0.266445E+08   0.200016E+08   0.199994E+08   0.199994E+08   0.200064E+08  -0.460193E+00   0.987096E+07   0.987096E+07   0.757804E+01
   0.134708E-04   0.199993E+08   0.199993E+08   0.266406E+08   0.266398E+08   0.200016E+08   0.199994E+08   0.199993E+08   0.200063E+08  -0.460192E+00   0.987095E+07   0.987095E+07   0.836689E+01
   0.148737E-04   0.199993E+08   0.199993E+08   0.266350E+08   0.266341E+08   0.200016E+08   0.199993E+08   0.199993E+08   0.200063E+08  -0.460192E+00   0.987095E+07   0.987095E+07   0.923777E+01
   0.164228E-04   0.199993E+08   0.199993E+08   0.266283E+08   0.266271E+08   0.200015E+08   0.199993E+08   0.199993E+08   0.200063E+08  -0.460192E+00   0.987094E+07   0.987094E+07   0.101992E+02
   0.181332E-04   0.199993E+08   0.199993E+08   0.266200E+08   0.266187E+08   0.200015E+08   0.199993E+08   0.199993E+08   0.200063E+08  -0.460191E+00   0.987093E+07   0.987093E+07   0.112605E+02
   0.200217E-04   0.199993E+08   0.199993E+08   0.266100E+08   0.266083E+08   0.200014E+08   0.199993E+08   0.199993E+08   0.200063E+08  -0.460191E+00   0.987092E+07   0.987092E+07   0.124320E+02
   0.221069E-04   0.199993E+08   0.199993E+08   0.265978E+08   0.265957E+08   0.200014E+08   0.199993E+08   0.199993E+08   0.200063E+08  -0.460190E+00   0.987091E+07   0.987091E+07   0.137251E+02
   0.244093E-04   0.199992E+08   0.199992E+08   0.265829E+08   0.265804E+08   0.200013E+08   0.199992E+08   0.199992E+08   0.200062E+08  -0.460189E+00   0.987090E+07   0.987090E+07   0.151523E+02
   0.269514E-04   0.199992E+08   0.199992E+08   0.265647E+08   0.265617E+08   0.200012E+08   0.199992E+08   0.199992E+08   0.200062E+08  -0.460188E+00   0.987088E+07   0.987088E+07   0.167273E+02
   0.297583E-04   0.199992E+08   0.199992E+08   0.265426E+08   0.265389E+08   0.200011E+08   0.199992E+08   0.199992E+08   0.200061E+08  -0.460187E+00   0.987086E+07   0.987086E+07   0.184654E+02
   0.328576E-04   0.199991E+08   0.199991E+08   0.265157E+08   0.265112E+08   0.200010E+08   0.199991E+08   0.199991E+08   0.200061E+08  -0.460185E+00   0.987083E+07   0.987083E+07   0.203830E+02
   0.362796E-04   0.199990E+08   0.199990E+08   0.264828E+08   0.264774E+08   0.200008E+08   0.199990E+08   0.199990E+08   0.200060E+08  -0.460184E+00   0.987080E+07   0.987080E+07   0.224985E+02
   0.400580E-04   0.199990E+08   0.199990E+08   0.264429E+08   0.264363E+08   0.200006E+08   0.199990E+08   0.199990E+08   0.200059E+08  -0.460181E+00   0.987076E+07   0.987076E+07   0.248318E+02
   0.442299E-04   0.199989E+08   0.199989E+08   0.263943E+08   0.263862E+08   0.200004E+08   0.199989E+08   0.199989E+08   0.200058E+08  -0.460179E+00   0.987071E+07   0.987071E+07   0.274047E+02
   0.488363E-04   0.199988E+08   0.199987E+08   0.263351E+08   0.263252E+08   0.200001E+08   0.199988E+08   0.199988E+08   0.200057E+08  -0.460175E+00   0.987066E+07   0.987065E+07   0.302409E+02
   0.539225E-04   0.199986E+08   0.199986E+08   0.262631E+08   0.262511E+08   0.199997E+08   0.199986E+08   0.199986E+08   0.200055E+08  -0.460171E+00   0.987059E+07   0.987058E+07   0.333664E+02
   0.595384E-04   0.199984E+08   0.199984E+08   0.261756E+08   0.261610E+08   0.199993E+08   0.199984E+08   0.199984E+08   0.200053E+08  -0.460166E+00   0.987050E+07   0.987049E+07   0.368091E+02
   0.657391E-04   0.199982E+08   0.199982E+08   0.260693E+08   0.260516E+08   0.199988E+08   0.199982E+08   0.199982E+08   0.200051E+08  -0.460160E+00   0.987039E+07   0.987039E+07   0.405993E+02
   0.725857E-04   0.199980E+08   0.199980E+08   0.259402E+08   0.259187E+08   0.199982E+08   0.199980E+08   0.199980E+08   0.200048E+08  -0.460153E+00   0.987027E+07   0.987026E+07   0.447692E+02
   0.801453E-04   0.199977E+08   0.199976E+08   0.257836E+08   0.257575E+08   0.199974E+08   0.199977E+08   0.199977E+08   0.200044E+08  -0.460144E+00   0.987011E+07   0.987010E+07   0.493534E+02
   0.884922E-04   0.199973E+08   0.199972E+08   0.255939E+08   0.255623E+08   0.199964E+08   0.199973E+08   0.199973E+08   0.200040E+08  -0.460133E+00   0.986992E+07   0.986991E+07   0.543882E+02
   0.977084E-04   0.199968E+08   0.199968E+08   0.253643E+08   0.253261E+08   0.199953E+08   0.199968E+08   0.199968E+08   0.200035E+08  -0.460120E+00   0.986969E+07   0.986967E+07   0.599113E+02
   0.107884E-03   0.199963E+08   0.199962E+08   0.250870E+08   0.250408E+08   0.199939E+08   0.199963E+08   0.199963E+08   0.200028E+08  -0.460104E+00   0.986941E+07   0.986939E+07   0.659615E+02
   0.119120E-03   0.199956E+08   0.199955E+08   0.247526E+08   0.246970E+08   0.199921E+08   0.199956E+08   0.199956E+08   0.200021E+08  -0.460084E+00   0.986907E+07   0.986904E+07   0.725774E+02
   0.131526E-03   0.199948E+08   0.199947E+08   0.243506E+08   0.242836E+08   0.199901E+08   0.199947E+08   0.199948E+08   0.200011E+08  -0.460060E+00   0.986865E+07   0.986862E+07   0.797964E+02
   0.145224E-03   0.199938E+08   0.199936E+08   0.238686E+08   0.237882E+08   0.199875E+08   0.199937E+08   0.199938E+08   0.200000E+08  -0.460031E+00   0.986814E+07   0.986810E+07   0.876527E+02
   0.160349E-03   0.199926E+08   0.199924E+08   0.232928E+08   0.231968E+08   0.199844E+08   0.199925E+08   0.199925E+08   0.199986E+08  -0.459996E+00   0.986752E+07   0.986748E+07   0.961751E+02
   0.177049E-03   0.199911E+08   0.199909E+08   0.226081E+08   0.224939E+08   0.199806E+08   0.199910E+08   0.199910E+08   0.199969E+08  -0.459954E+00   0.986678E+07   0.986672E+07   0.105383E+03
   0.195488E-03   0.199893E+08   0.199890E+08   0.217986E+08   0.216634E+08   0.199760E+08   0.199892E+08   0.199892E+08   0.199949E+08  -0.459902E+00   0.986586E+07   0.986580E+07   0.115284E+03
   0.215848E-03   0.199871E+08   0.199868E+08   0.208478E+08   0.206889E+08   0.199705E+08   0.199870E+08   0.199870E+08   0.199924E+08  -0.459840E+00   0.986476E+07   0.986468E+07   0.125866E+03
   0.238328E-03   0.199844E+08   0.199841E+08   0.197407E+08   0.195553E+08   0.199637E+08   0.199843E+08   0.199844E+08   0.199894E+08  -0.459765E+00   0.986342E+07   0.986332E+07   0.137091E+03
   0.263149E-03   0.199812E+08   0.199808E+08   0.184647E+08   0.182508E+08   0.199554E+08   0.199810E+08   0.199812E+08   0.199859E+08  -0.459675E+00   0.986179E+07   0.986167E+07   0.148889E+03
   0.290555E-03   0.199773E+08   0.199768E+08   0.170131E+08   0.167692E+08   0.199454E+08   0.199771E+08   0.199773E+08   0.199816E+08  -0.459566E+00   0.985982E+07   0.985968E+07   0.161146E+03
   0.320815E-03   0.199726E+08   0.199720E+08   0.153877E+08   0.151140E+08   0.199333E+08   0.199724E+08   0.199725E+08   0.199764E+08  -0.459436E+00   0.985745E+07   0.985728E+07   0.173695E+03
   0.354227E-03   0.199670E+08   0.199662E+08   0.136037E+08   0.133025E+08   0.199186E+08   0.199666E+08   0.199669E+08   0.199702E+08  -0.459282E+00   0.985458E+07   0.985439E+07   0.186306E+03
   0.391119E-03   0.199602E+08   0.199593E+08   0.116939E+08   0.113705E+08   0.199008E+08   0.199598E+08   0.199600E+08   0.199628E+08  -0.459098E+00   0.985114E+07   0.985090E+07   0.198678E+03
   0.431853E-03   0.199520E+08   0.199509E+08   0.971303E+07   0.937645E+07   0.198793E+08   0.199515E+08   0.199518E+08   0.199540E+08  -0.458880E+00   0.984700E+07   0.984673E+07   0.210438E+03
   0.476829E-03   0.199422E+08   0.199410E+08   0.773940E+07   0.740294E+07   0.198534E+08   0.199416E+08   0.199420E+08   0.199436E+08  -0.458623E+00   0.984205E+07   0.984173E+07   0.221140E+03
   0.526490E-03   0.199306E+08   0.199291E+08   0.587246E+07   0.555347E+07   0.198221E+08   0.199298E+08   0.199303E+08   0.199313E+08  -0.458322E+00   0.983614E+07   0.983578E+07   0.230287E+03
   0.581322E-03   0.199167E+08   0.199150E+08   0.422255E+07   0.394103E+07   0.197846E+08   0.199158E+08   0.199164E+08   0.199169E+08  -0.457971E+00   0.982912E+07   0.982871E+07   0.237362E+03
