# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04077e-05 to 522.158 h/Mpc,
# number of wavenumbers equal to 139
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_idm_dr/k2           4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2              9:-T_tot/k2
       6.543579795868e-01       1.841359907163e+05       0.000000000000e+00       1.832130848260e+05      -1.088860663203e-02      -1.108767158754e-02      1.839364974885e+05
       6.959323092616e-01       1.669823010351e+05       0.000000000000e+00       1.661449888693e+05      -8.729732852342e-03      -8.889329269254e-03      1.668013320455e+05
       7.475228209507e-01       1.489866600263e+05       0.000000000000e+00       1.482397979220e+05      -6.750930333799e-03      -6.874350240576e-03      1.488252275436e+05
       8.155704356388e-01       1.295472025098e+05       0.000000000000e+00       1.288978354098e+05      -4.931407885329e-03      -5.021563287942e-03      1.294068406321e+05
       9.133163661733e-01       1.078821008882e+05       0.000000000000e+00       1.073413580350e+05      -3.274717713484e-03      -3.334585533316e-03      1.077652168107e+05
       1.067808395530e+00       8.359952045183e+04       0.000000000000e+00       8.318047844207e+04      -1.856148478472e-03      -1.890087188340e-03      8.350894328018e+04
       1.313863399151e+00       5.936696435214e+04       0.000000000000e+00       5.906931098477e+04      -8.707541102463e-04      -8.866735444195e-04      5.930263022063e+04
       1.651252924045e+00       4.051656167157e+04       0.000000000000e+00       4.031329413881e+04      -3.762688381067e-04      -3.831472993807e-04      4.047263530321e+04
       2.078750576060e+00       2.744998121049e+04       0.000000000000e+00       2.731210793883e+04      -1.608518958055e-04      -1.637923858640e-04      2.742019600281e+04
       2.616991723179e+00       1.852039864757e+04       0.000000000000e+00       1.842719359616e+04      -6.845955706568e-05      -6.971129148286e-05      1.850027397957e+04
       3.294597382657e+00       1.244878523826e+04       0.000000000000e+00       1.238593211147e+04      -2.904391202067e-05      -2.957479260939e-05      1.243522605543e+04
       4.147652366658e+00       8.339553921413e+03       0.000000000000e+00       8.297228580720e+03      -1.227624499483e-05      -1.250063304750e-05      8.330435983773e+03
       5.221584963674e+00       5.569490751827e+03       0.000000000000e+00       5.540989138709e+03      -5.173503398188e-06      -5.268052593941e-06      5.563364456172e+03
       6.573586000611e+00       3.709094602404e+03       0.000000000000e+00       3.689864415259e+03      -2.173902139547e-06      -2.213628559118e-06      3.704975519769e+03
