#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.717360E-04   0.201189E+08   0.201189E+08   0.260981E+08   0.260970E+08   0.201192E+08   0.201190E+08   0.201189E+08   0.201258E+08  -0.460919E+00   0.996972E+07   0.996972E+07   0.432836E-01
   0.118273E-03   0.201166E+08   0.201166E+08   0.248875E+08   0.248846E+08   0.201132E+08   0.201166E+08   0.201166E+08   0.201231E+08  -0.460851E+00   0.996852E+07   0.996852E+07   0.712033E-01
   0.194999E-03   0.201102E+08   0.201102E+08   0.218509E+08   0.218437E+08   0.200971E+08   0.201102E+08   0.201102E+08   0.201159E+08  -0.460669E+00   0.996530E+07   0.996530E+07   0.116701E+00
   0.321498E-03   0.200934E+08   0.200933E+08   0.152318E+08   0.152160E+08   0.200540E+08   0.200932E+08   0.200934E+08   0.200972E+08  -0.460199E+00   0.995675E+07   0.995675E+07   0.189525E+00
   0.530061E-03   0.200503E+08   0.200503E+08   0.552652E+07   0.549698E+07   0.199408E+08   0.200498E+08   0.200503E+08   0.200513E+08  -0.459067E+00   0.993495E+07   0.993495E+07   0.301853E+00
   0.873924E-03   0.199485E+08   0.199484E+08   0.107070E+07   0.101653E+07   0.196575E+08   0.199471E+08   0.199484E+08   0.199474E+08  -0.456604E+00   0.988344E+07   0.988344E+07   0.467397E+00
   0.144086E-02   0.197281E+08   0.197278E+08   0.182177E+06   0.139907E+06   0.190060E+08   0.197247E+08   0.197280E+08   0.197247E+08  -0.451482E+00   0.977296E+07   0.977295E+07   0.708585E+00
   0.237557E-02   0.192870E+08   0.192863E+08  -0.109571E+06  -0.109606E+06   0.177405E+08   0.192797E+08   0.192869E+08   0.192796E+08  -0.441285E+00   0.955272E+07   0.955272E+07   0.105922E+01
   0.391665E-02   0.184773E+08   0.184754E+08  -0.386212E+05  -0.386334E+05   0.157458E+08   0.184642E+08   0.184770E+08   0.184642E+08  -0.422618E+00   0.914933E+07   0.914931E+07   0.156423E+01
   0.411746E-02   0.183696E+08   0.183675E+08  -0.347432E+05  -0.347542E+05   0.155036E+08   0.183559E+08   0.183692E+08   0.183558E+08  -0.420137E+00   0.909572E+07   0.909570E+07   0.162525E+01
   0.432857E-02   0.182563E+08   0.182540E+08  -0.312441E+05  -0.312540E+05   0.152534E+08   0.182419E+08   0.182559E+08   0.182419E+08  -0.417529E+00   0.903937E+07   0.903935E+07   0.168840E+01
   0.455050E-02   0.181373E+08   0.181348E+08  -0.280876E+05  -0.280965E+05   0.149945E+08   0.181223E+08   0.181369E+08   0.181223E+08  -0.414790E+00   0.898018E+07   0.898015E+07   0.175372E+01
   0.478381E-02   0.180125E+08   0.180097E+08  -0.252407E+05  -0.252487E+05   0.147283E+08   0.179967E+08   0.180120E+08   0.179967E+08  -0.411916E+00   0.891807E+07   0.891804E+07   0.182126E+01
