#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.110969E-01   0.148639E+08   0.148505E+08  -0.412289E+04  -0.412408E+04   0.900768E+07   0.148339E+08   0.148617E+08   0.148339E+08  -0.334077E+00   0.721595E+07   0.721584E+07   0.335863E+01
   0.116659E-01   0.145993E+08   0.145847E+08  -0.366440E+04  -0.366546E+04   0.863236E+07   0.145686E+08   0.145968E+08   0.145686E+08  -0.328101E+00   0.708706E+07   0.708694E+07   0.345856E+01
   0.122640E-01   0.143256E+08   0.143097E+08  -0.325378E+04  -0.325472E+04   0.825718E+07   0.142942E+08   0.143230E+08   0.142942E+08  -0.321922E+00   0.695378E+07   0.695365E+07   0.355753E+01
   0.128928E-01   0.140428E+08   0.140255E+08  -0.288624E+04  -0.288708E+04   0.788370E+07   0.140107E+08   0.140399E+08   0.140107E+08  -0.315538E+00   0.681605E+07   0.681591E+07   0.365482E+01
   0.135538E-01   0.137507E+08   0.137320E+08  -0.255746E+04  -0.255820E+04   0.751144E+07   0.137180E+08   0.137476E+08   0.137180E+08  -0.308947E+00   0.667385E+07   0.667370E+07   0.374963E+01
   0.142487E-01   0.134494E+08   0.134291E+08  -0.226356E+04  -0.226421E+04   0.714069E+07   0.134161E+08   0.134460E+08   0.134161E+08  -0.302147E+00   0.652715E+07   0.652698E+07   0.384100E+01
   0.149793E-01   0.131387E+08   0.131169E+08  -0.200100E+04  -0.200158E+04   0.677289E+07   0.131049E+08   0.131351E+08   0.131049E+08  -0.295139E+00   0.637594E+07   0.637576E+07   0.392787E+01
   0.157473E-01   0.128188E+08   0.127953E+08  -0.176664E+04  -0.176715E+04   0.640971E+07   0.127845E+08   0.128149E+08   0.127845E+08  -0.287923E+00   0.622023E+07   0.622004E+07   0.400905E+01
   0.165546E-01   0.124898E+08   0.124644E+08  -0.155761E+04  -0.155806E+04   0.605180E+07   0.124551E+08   0.124856E+08   0.124551E+08  -0.280502E+00   0.606010E+07   0.605990E+07   0.408321E+01
   0.174034E-01   0.121518E+08   0.121245E+08  -0.137135E+04  -0.137175E+04   0.569945E+07   0.121167E+08   0.121472E+08   0.121167E+08  -0.272881E+00   0.589562E+07   0.589541E+07   0.414888E+01
   0.182957E-01   0.118051E+08   0.117758E+08  -0.120554E+04  -0.120589E+04   0.535346E+07   0.117696E+08   0.118002E+08   0.117696E+08  -0.265066E+00   0.572694E+07   0.572671E+07   0.420445E+01
   0.192337E-01   0.114500E+08   0.114189E+08  -0.105809E+04  -0.105840E+04   0.501510E+07   0.114144E+08   0.114449E+08   0.114144E+08  -0.257065E+00   0.555425E+07   0.555400E+07   0.424818E+01
   0.202199E-01   0.110873E+08   0.110541E+08  -0.927137E+03  -0.927405E+03   0.468557E+07   0.110514E+08   0.110818E+08   0.110514E+08  -0.248891E+00   0.537780E+07   0.537754E+07   0.427823E+01
   0.212566E-01   0.107174E+08   0.106822E+08  -0.810981E+03  -0.811216E+03   0.436515E+07   0.106814E+08   0.107115E+08   0.106814E+08  -0.240559E+00   0.519793E+07   0.519765E+07   0.429264E+01
   0.223464E-01   0.103413E+08   0.103040E+08  -0.708104E+03  -0.708309E+03   0.405463E+07   0.103053E+08   0.103351E+08   0.103053E+08  -0.232088E+00   0.501504E+07   0.501476E+07   0.428941E+01
   0.234921E-01   0.995999E+07   0.992080E+07  -0.617136E+03  -0.617315E+03   0.375536E+07   0.992408E+07   0.995348E+07   0.992408E+07  -0.223502E+00   0.482967E+07   0.482937E+07   0.426650E+01
   0.246966E-01   0.957476E+07   0.953371E+07  -0.536845E+03  -0.537000E+03   0.346784E+07   0.953901E+07   0.956794E+07   0.953901E+07  -0.214830E+00   0.464241E+07   0.464210E+07   0.422192E+01
   0.259628E-01   0.918710E+07   0.914434E+07  -0.466120E+03  -0.466254E+03   0.319264E+07   0.915160E+07   0.918000E+07   0.915160E+07  -0.206105E+00   0.445400E+07   0.445368E+07   0.415378E+01
   0.272940E-01   0.879877E+07   0.875449E+07  -0.403959E+03  -0.404076E+03   0.293061E+07   0.876362E+07   0.879142E+07   0.876362E+07  -0.197367E+00   0.426531E+07   0.426498E+07   0.406041E+01
